tick,total_waste,green_waste,yellow_waste,red_waste,waste_disposed,avg_energy,messages_sent
736,10,4,1,5,8,1.5555555555555556,6481
737,10,4,1,5,8,1.4444444444444444,6490
738,10,4,1,5,8,2.2222222222222223,6498
739,9,3,1,5,8,1.1111111111111112,6506
740,9,3,1,5,8,1.4444444444444444,6514
741,9,3,1,5,8,1.3333333333333333,6522
742,9,3,1,5,8,2.111111111111111,6530
743,8,2,1,5,8,1.0,6538
744,8,2,1,5,8,1.7777777777777777,6546
745,8,2,1,5,8,2.111111111111111,6555
746,8,2,1,5,8,2.0,6564
747,8,2,1,5,8,1.0,6573
748,8,2,1,5,8,1.3333333333333333,6582
749,8,2,1,5,8,1.6666666666666667,6591
750,8,2,1,5,8,2.0,6600
751,8,2,1,5,8,1.0,6609
752,8,2,1,5,8,1.3333333333333333,6618
753,8,2,1,5,8,1.6666666666666667,6627
754,8,2,1,5,8,2.0,6636
755,8,2,1,5,8,1.0,6645
756,8,2,1,5,8,1.3333333333333333,6654
757,8,2,1,5,8,1.6666666666666667,6662
758,9,2,2,5,8,2.0,6670
759,8,1,2,5,8,0.8888888888888888,6679
760,8,1,2,5,8,1.6666666666666667,6688
761,8,1,2,5,8,2.0,6696
762,7,1,1,5,8,2.2222222222222223,6704
763,7,1,1,5,8,1.6666666666666667,6712
764,7,1,1,5,8,2.0,6721
765,7,1,1,5,8,1.4444444444444444,6730
766,7,1,1,5,8,1.7777777777777777,6739
767,7,1,1,5,8,1.2222222222222223,6748
768,7,1,1,5,8,1.5555555555555556,6757
769,7,1,1,5,8,1.4444444444444444,6766
770,7,1,0,6,8,1.7777777777777777,6775
771,7,1,0,6,8,1.2222222222222223,6784
772,7,1,0,6,8,1.5555555555555556,6793
773,7,1,0,6,8,1.4444444444444444,6802
774,7,1,0,6,8,1.7777777777777777,6811
775,7,1,0,6,8,1.2222222222222223,6820
776,7,1,0,6,8,1.5555555555555556,6829
777,7,1,0,6,8,1.4444444444444444,6838
778,7,1,0,6,8,1.7777777777777777,6847
779,7,1,0,6,8,1.2222222222222223,6856
780,8,0,1,7,8,1.5555555555555556,6865
781,8,0,1,7,8,1.4444444444444444,6875
782,8,0,1,7,8,1.7777777777777777,6884
783,8,0,1,7,8,1.2222222222222223,6893
784,8,0,1,7,8,1.5555555555555556,6902
785,8,0,1,7,8,1.4444444444444444,6911
786,8,0,1,7,8,1.7777777777777777,6920
787,8,0,1,7,8,1.2222222222222223,6929
788,8,0,1,7,8,1.5555555555555556,6938
789,8,0,1,7,8,1.4444444444444444,6947
790,8,0,1,7,8,1.7777777777777777,6956
791,8,0,1,7,8,1.2222222222222223,6966
792,8,0,1,7,8,1.5555555555555556,6976
793,8,0,1,7,8,1.4444444444444444,6986
794,8,0,1,7,8,1.7777777777777777,6996
795,8,0,1,7,8,1.2222222222222223,7006
796,8,0,1,7,8,1.5555555555555556,7016
797,8,0,1,7,8,1.4444444444444444,7026
